;;;Csatlakozók / töltési módok;;;;;;;;Töltőpont címe;;;;
Töltőpont neve;Gyártó;Típus;Teljesítmény (Type 2);Darab (Type 2);Teljesítmény (CCS);Darab (CCS);Teljesítmény (CHAdeMO);Darab (CHAdeMO);Kapacitás;Szolgáltatás díja (bruttó);Irányító szám;Település;Cím;Mobiliti azonosító;GPS koordináták
Budapest - Málna utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1011;Budapest;Málna utca        ;13001;47.506967,19.035222
Budapest - Szilágyi Dezső tér       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1011;Budapest;Szilágyi Dezső tér       ;13002;47.503416,19.039387
Budapest - Hadnagy utca 8.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1013;Budapest;Hadnagy utca 8.       ;13003;47.490838,19.04385
Budapest - Naphegy utca 65.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1016;Budapest;Naphegy utca 65.       ;13004;47.492262,19.03688
Budapest - Gellérthegy utca 36.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1016;Budapest;Gellérthegy utca 36.       ;13005;47.494525,19.035092
Budapest - Krisztina körút 99.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1016;Budapest;Krisztina körút 99.       ;13006;47.495127,19.03518
Budapest - Ürömi utca 66.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1023;Budapest;Ürömi utca 66.       ;13007;47.527974,19.03273
Budapest - Frankel Leó utca 53.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1023;Budapest;Frankel Leó utca 53.      ;13008;47.522105,19.037185
Budapest - Frankel Leó utca 27. (Lukács Gyógyfürdő)    ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1023;Budapest;Frankel Leó utca 27. (Lukács Gyógyfürdő)    ;13009;47.517813,19.037059
Budapest - Árpád fejedelem útja 12.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1023;Budapest;Árpád fejedelem útja 12.      ;13010;47.520968,19.03792
Budapest - Csatárka utca 49.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1025;Budapest;Csatárka utca 49.       ;13011;47.530115,19.00905
Budapest - Gábor Áron utca 74-76.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1026;Budapest;Gábor Áron utca 74-76.      ;13012;47.522225,19.0148
Budapest - Szabadság-Közsgégház utca torkolat       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1028;Budapest;Szabadság-Közsgégház utca torkolat       ;13013;47.561105,18.960253
Budapest - Rezeda utca (Bánffy György emlékpark)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1028;Budapest;Rezeda utca (Bánffy György emlékpark)     ;13014;47.54418,18.964084
Budapest - Rozgonyi Piroska utca 26.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1031;Budapest;Rozgonyi Piroska utca 26.      ;13015;47.574025,19.061943
Budapest - Torma Károly utca (Bécsi tér)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1031;Budapest;Torma Károly utca (Bécsi tér)     ;13016;47.571788,19.0498
Budapest - Záhony utca 4.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1031;Budapest;Záhony utca 4.       ;13017;47.561543,19.04987
Budapest - Kanóc utca (Vitorla utca)      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1031;Budapest;Kanóc utca (Vitorla utca)      ;13018;47.569089,19.050923
Budapest - Ágoston utca 4.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1032;Budapest;Ágoston utca 4.       ;13019;47.545943,19.031887
Budapest - Törzs utca 2.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1032;Budapest;Törzs utca 2.       ;13020;47.542995,19.036523
Budapest - Szérűskert utca 39.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1033;Budapest;Szérűskert utca 39.       ;13021;47.557687,19.043488
Budapest - Kerék utca 36.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1035;Budapest;Kerék utca 36.       ;13022;47.5489,19.042514
Budapest - Goldberger Leó utca (Tél utca)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1036;Budapest;Goldberger Leó utca (Tél utca)     ;13023;47.536908,19.045598
Budapest - Lajos utca 109.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1036;Budapest;Lajos utca 109.       ;13024;47.533962,19.042843
Budapest - Kiskorona utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1036;Budapest;Kiskorona utca        ;13025;47.538582,19.042752
Budapest - Kubik utca (Opel Maxabo mellett)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1037;Budapest;Kubik utca (Opel Maxabo mellett)     ;13026;47.561382,19.023588
Budapest - Bálint György utca 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1039;Budapest;Bálint György utca 2.      ;13027;47.599988,19.063528
Budapest - Zsirai Miklós  utca 15.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1039;Budapest;Zsirai Miklós  utca 15.       ;13028;47.600538,19.047476
Budapest - Pünkösdfürdő utca 3.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1039;Budapest;Pünkösdfürdő utca 3.       ;13029;47.594458,19.067858
Budapest - Nyár utca 24.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1041;Budapest;Nyár utca 24.       ;13030;47.558528,19.10323
Budapest - Petőfi utca 35.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1042;Budapest;Petőfi utca 35.       ;13031;47.560224,19.095961
Budapest - Király utca 9.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1044;Budapest;Király utca 9.       ;13032;47.562243,19.092474
Budapest - Óradna utca 2/a       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1044;Budapest;Óradna utca 2/a       ;13033;47.594355,19.106087
Budapest - Megyeri út 4.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1044;Budapest;Megyeri út 4.       ;13034;47.575013,19.083102
Budapest - Budapest Károly körút 20.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1052;Budapest;Budapest Károly körút 20.      ;13035;47.49596,19.05811
Budapest - Kodály körönd 1.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1062;Budapest;Kodály körönd 1.       ;13036;47.509772,19.070722
Budapest - Andrássy út 121.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1062;Budapest;Andrássy út 121.       ;13037;47.513317,19.075675
Budapest - Városligeti Fasor 18.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1068;Budapest;Városligeti Fasor 18.       ;13038;47.50915,19.075588
Budapest - Damjanich utca 20.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1071;Budapest;Damjanich utca 20.       ;13039;47.506794,19.076375
Budapest - Jósika utca (Rózsa utca 36.)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1077;Budapest;Jósika utca (Rózsa utca 36.)     ;13040;47.505325,19.071748
Budapest - Marek József utca 40.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1078;Budapest;Marek József utca 40.      ;13041;47.507109,19.084258
Budapest - Baross utca (Rigó utca)      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1085;Budapest;Baross utca (Rigó utca)      ;13042;47.489655,19.073084
Budapest - Ecseri út 2.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1095;Budapest;Ecseri út 2.       ;13043;47.470545,19.109428
Budapest - Füzér utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1102;Budapest;Füzér utca        ;13044;47.484154,19.130655
Budapest - Maláta utca 6.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1102;Budapest;Maláta utca 6.       ;13045;47.491015,19.13981
Budapest - Gergely utca (Martinovics tér)      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1103;Budapest;Gergely utca (Martinovics tér)      ;13046;47.480674,19.133786
Budapest - Szárnyas utca 14.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1107;Budapest;Szárnyas utca 14.       ;13047;47.468386,19.120173
